sutun,eksik_adet,eksik_yuzde,dolu_adet
pam,181969,83.8,35186
social_level,181807,83.72,35348
phq4_score,181807,83.72,35348
sse3_resp_mean,181807,83.72,35348
sse3-4,181807,83.72,35348
sse3-3,181807,83.72,35348
sse3-2,181807,83.72,35348
sse3-1,181807,83.72,35348
phq4_resp_median,181807,83.72,35348
stress,181807,83.72,35348
phq4_resp_mean,181807,83.72,35348
phq4-4,181807,83.72,35348
phq4-3,181807,83.72,35348
phq4-2,181807,83.72,35348
phq4-1,181807,83.72,35348
sse3_resp_median,181807,83.72,35348
avg_ema_spent_time,178148,82.04,39007
uid,0,0.0,217155
day,0,0.0,217155
day_dt,0,0.0,217155
