label,model,k,n_feat,auc,f1,p,r,thr,f2,p_f2,r_f2
BASELINE,HGB,8,159,0.6976489935839529,0.35988200589970504,0.29901960784313725,0.45185185185185184,0.4699999999999999,0.5084033613445378,0.18615384615384614,0.8962962962962963
RF orig,RF,8,159,0.7000208463623098,0.3444976076555024,0.23225806451612904,0.6666666666666666,0.31999999999999995,0.5246494798733605,0.20512820512820512,0.8592592592592593
HGB orig k=3,HGB,3,159,0.6840872767702036,0.3431472081218274,0.23636363636363636,0.6259259259259259,0.19,0.5079365079365079,0.1991111111111111,0.8296296296296296
HGB orig k=5,HGB,5,159,0.697153313413476,0.34620505992010653,0.2702702702702703,0.48148148148148145,0.31999999999999995,0.5137575236457438,0.19181380417335472,0.8851851851851852
HGB orig k=12,HGB,12,159,0.6968012415166887,0.35658914728682173,0.25434439178515006,0.5962962962962963,0.4599999999999999,0.5109315589353612,0.2099609375,0.7962962962962963
HGB orig k=15,HGB,15,159,0.7025780001389758,0.34615384615384615,0.27510917030567683,0.4666666666666667,0.59,0.513051305130513,0.19964973730297722,0.8444444444444444
ORIG+RZS (HGB),HGB,8,318,0.618101591272323,0.2926829268292683,0.19597989949748743,0.5777777777777777,0.21999999999999997,0.4586793198892843,0.1601104209799862,0.8592592592592593
ORIG+RZS (RF),RF,8,318,0.6478933592754732,0.312455003599712,0.193923145665773,0.8037037037037037,0.24,0.498051104374188,0.1871440195280716,0.8518518518518519
ORIG+ZSC (HGB),HGB,8,318,0.6398559284738148,0.3063646170442287,0.2161339421613394,0.5259259259259259,0.13,0.4792589609343536,0.16963649322879543,0.8814814814814815
SADECE RZS,HGB,8,159,0.4943807472262757,0.24938149430974765,0.143917761279269,0.9333333333333333,0.05,0.4450724125750618,0.143917761279269,0.9333333333333333
MEGA aug,HGB,8,636,0.7716697936210132,0.41887905604719766,0.3480392156862745,0.5259259259259259,0.21999999999999997,0.5679287305122495,0.2849162011173184,0.7555555555555555
MEGA aug RF,RF,8,636,0.7011859263891785,0.3434343434343434,0.22832722832722832,0.6925925925925925,0.21999999999999997,0.5287569573283859,0.21189591078066913,0.8444444444444444
ORIG+RZS HGB k=3,HGB,3,318,0.6069788988488176,0.30030959752321984,0.2579787234042553,0.3592592592592593,0.22999999999999998,0.449939197405756,0.16005767844268204,0.8222222222222222
ORIG+RZS HGB k=5,HGB,5,318,0.6084636230977694,0.3231597845601436,0.313588850174216,0.3333333333333333,0.36999999999999994,0.4411177644710579,0.1550877192982456,0.8185185185185185
ORIG+RZS HGB k=12,HGB,12,318,0.6132837653162856,0.30734966592427615,0.3854748603351955,0.25555555555555554,0.61,0.4581597879591064,0.15502882767456758,0.8962962962962963
